****************************************************************************************************
SERIE 55
****************************************************************************************************

Test ipotesi linearità_____________________________________
Covarianza = 0.37622
Indice Pearson = 0.99899 +/- 0.00200
Gradi di Liberta' = 503
	t = 498.50560298719773
	p-value (due code) = 0.0

Parametri___________________________________________________
y = a + bx
a = -3.54444 +/- 0.03886
b = 33.77884 +/- 0.07588

Test bontà fit _____________________________________________
x         y         sy           y*            Chi-quadro   
0.36982   9.20000   0.00289      8.94773       7636.51600   
0.37051   9.24000   0.00289      8.97088       8691.24855   
0.37092   9.25000   0.00289      8.98480       8439.48569   
0.37608   9.34000   0.00289      9.15915       3924.88360   
0.37651   9.36000   0.00289      9.17350       4173.99718   
0.37750   9.46000   0.00289      9.20710       7674.74295   
0.37850   9.45000   0.00289      9.24089       5247.25411   
0.37879   9.49000   0.00289      9.25058       6878.88782   
0.37936   9.48000   0.00289      9.26999       5292.43564   
0.37994   9.55000   0.00289      9.28947       8145.34498   
0.38023   9.56000   0.00289      9.29923       8160.38223   
0.38008   9.53000   0.00289      9.29434       6664.04268   
0.37994   9.57000   0.00289      9.28947       9443.90734   
0.37994   9.53000   0.00289      9.28947       6942.78261   
0.37979   9.54000   0.00289      9.28459       7827.99437   
0.37965   9.53000   0.00289      9.27972       7516.72704   
0.38008   9.56000   0.00289      9.29434       8468.76494   
0.38139   9.61000   0.00289      9.33841       8851.12830   
0.38183   9.59000   0.00289      9.35317       6730.60445   
0.38270   9.63000   0.00289      9.38279       7333.78334   
0.38388   9.64000   0.00289      9.42249       5677.50552   
0.38402   9.65000   0.00289      9.42747       5942.61144   
0.38417   9.69000   0.00289      9.43245       7959.92759   
0.38447   9.64000   0.00289      9.44243       4684.21224   
0.38536   9.68000   0.00289      9.47245       5169.02092   
0.38670   9.73000   0.00289      9.51776       5405.66038   
0.38715   9.70000   0.00289      9.53293       3349.57550   
0.38775   9.79000   0.00289      9.55321       6728.30526   
0.38805   9.74000   0.00289      9.56338       3743.53907   
0.38850   9.77000   0.00289      9.57865       4393.64882   
0.38895   9.81000   0.00289      9.59397       5600.50069   
0.38941   9.76000   0.00289      9.60931       2724.74323   
0.38941   9.81000   0.00289      9.60931       4832.97216   
0.38926   9.82000   0.00289      9.60419       5588.66384   
0.38926   9.78000   0.00289      9.60419       3708.92693   
0.38911   9.80000   0.00289      9.59908       4844.36416   
0.38911   9.78000   0.00289      9.59908       3927.93795   
0.38895   9.79000   0.00289      9.59397       4611.53582   
0.38895   9.82000   0.00289      9.59397       6130.98312   
0.38880   9.79000   0.00289      9.58886       4855.00103   
0.38880   9.80000   0.00289      9.58886       5349.74325   
0.38880   9.81000   0.00289      9.58886       5868.48547   
0.38880   9.79000   0.00289      9.58886       4855.00103   
0.38911   9.82000   0.00289      9.59908       5856.79037   
0.38941   9.80000   0.00289      9.60931       4363.32637   
0.39002   9.83000   0.00289      9.62983       4807.92662   
0.39078   9.88000   0.00289      9.65558       6043.93650   
0.39139   9.85000   0.00289      9.67624       3623.04732   
0.39200   9.89000   0.00289      9.69697       4471.19731   
0.39262   9.92000   0.00289      9.71777       4907.78883   
0.39355   9.90000   0.00289      9.74908       2733.12809   
0.39370   9.95000   0.00289      9.75432       4595.05559   
0.39355   9.92000   0.00289      9.74908       3505.53170   
0.39355   9.94000   0.00289      9.74908       4373.93532   
0.39355   9.96000   0.00289      9.74908       5338.33893   
0.39339   9.92000   0.00289      9.74385       3723.33065   
0.39355   9.95000   0.00289      9.74908       4844.13712   
0.39479   9.99000   0.00289      9.79107       4748.88986   
0.39604   9.99000   0.00289      9.83332       2945.88163   
0.39714   10.05000  0.00289      9.87051       3866.05508   
0.39872   10.04000  0.00289      9.92400       1614.79442   
0.40064   10.10000  0.00289      9.98875       1485.20297   
0.40209   10.16000  0.00289      10.03772      1794.18330   
0.40306   10.14000  0.00289      10.07057      578.45657    
0.40388   10.18000  0.00289      10.09806      805.61421    
0.40437   10.22000  0.00289      10.11461      1332.74295   
0.40453   10.19000  0.00289      10.12014      585.65721    
0.40437   10.22000  0.00289      10.11461      1332.74295   
0.40420   10.19000  0.00289      10.10909      785.51225    
0.40404   10.13000  0.00289      10.10358      83.78438     
0.40404   10.18000  0.00289      10.10358      700.86678    
0.40388   10.11000  0.00289      10.09806      17.09519     
0.40388   10.16000  0.00289      10.09806      460.32306    
0.40371   10.17000  0.00289      10.09256      719.69628    
0.40371   10.13000  0.00289      10.09256      168.24033    
0.40355   10.18000  0.00289      10.08705      1036.68742   
0.40371   10.16000  0.00289      10.09256      545.83229    
0.40420   10.15000  0.00289      10.10909      200.80548    
0.40519   10.22000  0.00289      10.14229      724.72854    
0.40617   10.17000  0.00289      10.17564      3.81922      
0.40700   10.22000  0.00289      10.20356      32.42525     
0.40733   10.25000  0.00289      10.21476      149.00666    
0.40733   10.22000  0.00289      10.21476      3.29250      
0.40733   10.24000  0.00289      10.21476      76.43527     
0.40866   10.25000  0.00289      10.25975      11.39581     
0.41085   10.32000  0.00289      10.33347      21.78319     
0.41203   10.37000  0.00289      10.37350      1.47010      
0.41305   10.35000  0.00289      10.40799      403.58463    
0.41408   10.42000  0.00289      10.44266      61.60388     
0.41528   10.44000  0.00289      10.48332      225.17115    
0.41649   10.44000  0.00289      10.52421      851.05961    
0.41736   10.50000  0.00289      10.55357      344.41578    
0.41824   10.49000  0.00289      10.58306      1039.10844   
0.41894   10.54000  0.00289      10.60673      534.33238    
0.41946   10.59000  0.00289      10.62454      143.13449    
0.41999   10.53000  0.00289      10.64239      1515.76273   
0.42052   10.58000  0.00289      10.66029      773.51839    
0.42105   10.60000  0.00289      10.67823      734.38654    
0.42159   10.60000  0.00289      10.69622      1110.94633   
0.42230   10.66000  0.00289      10.72027      435.94118    
0.42301   10.73000  0.00289      10.74441      24.91652     
0.42355   10.73000  0.00289      10.76257      127.26325    
0.42409   10.76000  0.00289      10.78077      51.75733     
0.42427   10.76000  0.00289      10.78685      86.48337     
0.42427   10.77000  0.00289      10.78685      34.05355     
0.42499   10.79000  0.00289      10.81121      53.97520     
0.42626   10.83000  0.00289      10.85404      69.36641     
0.42699   10.78000  0.00289      10.87863      1167.45201   
0.42753   10.67000  0.00289      10.89713      6190.75714   
0.42790   10.74000  0.00289      10.90949      3447.32913   
0.42827   10.81000  0.00289      10.92187      1501.86400   
0.42882   10.80000  0.00289      10.94048      2368.25752   
0.42918   10.84000  0.00289      10.95292      1530.01442   
0.42992   10.89000  0.00289      10.97785      926.05972    
0.43048   10.85000  0.00289      10.99660      2579.05610   
0.43085   10.90000  0.00289      11.00913      1429.17355   
0.43103   10.86000  0.00289      11.01541      2898.08670   
0.43122   10.88000  0.00289      11.02168      2408.90665   
