****************************************************************************************************
SERIE 25
****************************************************************************************************

Test ipotesi linearità_____________________________________
Covarianza = 0.37376
Indice Pearson = 0.99935 +/- 0.00146
Gradi di Liberta' = 613
	t = 684.290598324169
	p-value (due code) = 0.0

Parametri___________________________________________________
y = a + bx
a = -1.92025 +/- 0.02451
b = 28.55594 +/- 0.04565

Test bontà fit _____________________________________________
x         y         sy           y*            Chi-quadro   
0.37651   9.01000   0.00289      8.83124       3834.81699   
0.37750   9.03000   0.00289      8.85965       3482.45025   
0.37836   9.05000   0.00289      8.88412       3302.01465   
0.37922   9.08000   0.00289      8.90870       3521.18263   
0.38023   9.09000   0.00289      8.93752       2789.88027   
0.38110   9.10000   0.00289      8.96235       2273.67002   
0.38168   9.13000   0.00289      8.97897       2737.36514   
0.38256   9.17000   0.00289      9.00398       3307.39848   
0.38344   9.15000   0.00289      9.02912       1753.57020   
0.38388   9.18000   0.00289      9.04173       2294.39579   
0.38432   9.19000   0.00289      9.05436       2207.66313   
0.38506   9.18000   0.00289      9.07549       1310.60173   
0.38565   9.20000   0.00289      9.09246       1387.90230   
0.38595   9.24000   0.00289      9.10096       2319.98529   
0.38580   9.22000   0.00289      9.09670       1824.22621   
0.38595   9.21000   0.00289      9.10096       1426.86909   
0.38625   9.24000   0.00289      9.10947       2044.57116   
0.38640   9.22000   0.00289      9.11373       1355.15105   
0.38670   9.27000   0.00289      9.12227       2619.05963   
0.38715   9.21000   0.00289      9.13509       673.36891    
0.38745   9.29000   0.00289      9.14366       2569.93944   
0.38835   9.29000   0.00289      9.16944       1744.24210   
0.38911   9.31000   0.00289      9.19101       1698.95952   
0.38926   9.30000   0.00289      9.19534       1314.50230   
0.38986   9.32000   0.00289      9.21267       1382.31590   
0.39032   9.36000   0.00289      9.22571       2164.11421   
0.39078   9.37000   0.00289      9.23877       2066.40065   
0.39124   9.38000   0.00289      9.25187       1970.00097   
0.39216   9.39000   0.00289      9.27816       1500.98839   
0.39293   9.42000   0.00289      9.30016       1723.37853   
0.39355   9.43000   0.00289      9.31782       1510.02651   
0.39417   9.45000   0.00289      9.33554       1572.06954   
0.39494   9.48000   0.00289      9.35777       1792.84090   
0.39557   9.51000   0.00289      9.37561       2167.14265   
0.39604   9.53000   0.00289      9.38904       2384.53215   
0.39635   9.50000   0.00289      9.39800       1248.47863   
0.39698   9.54000   0.00289      9.41597       1845.93365   
0.39746   9.55000   0.00289      9.42949       1742.73020   
0.39809   9.55000   0.00289      9.44756       1259.21414   
0.39857   9.59000   0.00289      9.46115       1992.12739   
0.39904   9.60000   0.00289      9.47478       1881.60948   
0.39952   9.59000   0.00289      9.48844       1237.79240   
0.39984   9.63000   0.00289      9.49756       2104.81627   
0.40016   9.59000   0.00289      9.50670       832.69227    
0.40080   9.63000   0.00289      9.52502       1322.53430   
0.40145   9.64000   0.00289      9.54340       1119.85507   
0.40193   9.64000   0.00289      9.55722       822.30744    
0.40241   9.62000   0.00289      9.57108       287.22815    
0.40274   9.68000   0.00289      9.58033       1192.04770   
0.40339   9.70000   0.00289      9.59889       1226.81932   
0.40388   9.71000   0.00289      9.61285       1132.67600   
0.40437   9.67000   0.00289      9.62684       223.57084    
0.40502   9.71000   0.00289      9.64554       498.55256    
0.40552   9.75000   0.00289      9.65961       980.35365    
0.40601   9.73000   0.00289      9.67372       380.11060    
0.40667   9.80000   0.00289      9.69258       1384.73023   
0.40700   9.85000   0.00289      9.70203       2627.37313   
0.40733   9.83000   0.00289      9.71150       1685.08656   
0.40783   9.84000   0.00289      9.72573       1566.89517   
0.40833   9.87000   0.00289      9.74000       2028.09473   
0.40883   9.89000   0.00289      9.75430       2209.79856   
0.40950   9.91000   0.00289      9.77342       2238.45576   
0.41000   9.91000   0.00289      9.78780       1791.81029   
0.41068   9.89000   0.00289      9.80704       825.93531    
0.41135   9.85000   0.00289      9.82633       67.21167     
0.41203   9.90000   0.00289      9.84569       353.90396    
0.41254   9.97000   0.00289      9.86026       1445.26854   
0.41322   9.98000   0.00289      9.87973       1206.55652   
0.41408   9.98000   0.00289      9.90416       690.24515    
0.41477   10.05000  0.00289      9.92378       1911.92379   
0.41511   9.99000   0.00289      9.93361       381.60214    
